# Program:featureCounts v2.0.1; Command:"featureCounts" "-s2" "-T" "4" "-a" "annotation/hg38.small.gtf.gz" "-o" "rnaseq_samples/A549_JQ1_6h_2/A549_JQ1_6h_2.featurecounts.txt" "rnaseq_samples/A549_JQ1_6h_2/A549_JQ1_6h_2.small.single.cutadapt.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	rnaseq_samples/A549_JQ1_6h_2/A549_JQ1_6h_2.small.single.cutadapt.sorted.bam
ENSG00000262251.1	chr17	7685260	7686371	-	1112	18
ENSG00000141499.16	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	7686071;7686301;7687440;7687600;7688321;7688477;7688477;7688648;7688648;7688648;7688648;7688648;7689224;7689224;7689224;7689224;7689224;7689224;7689590;7689590;7689590;7689590;7689590;7689590;7689590;7700741;7700741;7700741;7700741;7700741;7700741;7700741;7701427;7701427;7701459;7701459;7701459;7701459;7701459;7701657;7701657;7701657;7701657;7701657;7701657;7701657;7701657;7702118;7702344;7702344;7702344;7702344;7702344;7702344;7702743;7702743;7702743;7702743;7702743;7702743;7702743;7702743;7702881;7702993;7702993;7702993;7702993;7702993;7702993;7702993;7702993;7702993;7703243;7703243;7703243;7703243;7703243;7703243;7703243;7703243;7703243;7703243	7686224;7689079;7687603;7688561;7688561;7688561;7689079;7689079;7689079;7689079;7689079;7689079;7689322;7689322;7689322;7689322;7689322;7689322;7689701;7689701;7689701;7689701;7689701;7689701;7689701;7700829;7700829;7700829;7700829;7700829;7700829;7700829;7701549;7701549;7701549;7701549;7701549;7701549;7701549;7701789;7701789;7701789;7701789;7701789;7702846;7701789;7701789;7702552;7702552;7702552;7702552;7702552;7702552;7702552;7702846;7702846;7702846;7702846;7702846;7702910;7702846;7702846;7703127;7703127;7703127;7703127;7703127;7703127;7703127;7703127;7703127;7703127;7703502;7703502;7703501;7703502;7703502;7703502;7703502;7703374;7703502;7703502	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5087	687
ENSG00000108947.4	chr17;chr17;chr17;chr17;chr17	7705202;7707958;7708435;7708635;7709167	7705720;7708250;7708527;7708739;7711378	+;+;+;+;+	3222	122
ENSG00000183914.14	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	7717354;7717761;7719721;7719721;7719721;7723628;7723628;7723628;7727122;7727122;7727122;7733087;7733087;7733087;7734183;7734183;7734183;7734470;7734470;7734470;7737067;7737067;7737067;7737963;7738927;7739733;7739733;7739733;7740420;7740420;7740420;7740596;7740810;7740810;7740810;7742928;7742928;7742928;7742928;7757091;7757091;7758495;7758495;7758885;7758885;7759422;7759422;7759791;7759791;7760740;7760740;7760744;7763831;7763831;7763831;7764117;7764117;7764117;7765391;7765391;7765391;7766318;7766318;7767900;7767900;7767900;7768164;7768164;7768164;7770252;7770252;7770252;7770557;7770557;7770557;7770753;7770753;7771330;7771330;7771330;7774759;7774759;7774759;7775241;7775241;7775241;7776024;7776024;7776024;7776779;7776779;7776779;7777446;7777446;7777446;7778077;7778077;7778077;7778280;7778280;7778280;7779243;7779243;7779243;7780157;7780157;7780157;7780630;7780630;7780630;7781042;7781042;7781042;7786124;7786124;7786124;7786570;7786570;7786897;7786897;7786897;7787860;7787860;7788086;7788086;7791917;7791917;7792252;7792252;7792657;7792657;7792981;7792981;7794254;7794254;7796464;7796464;7797176;7797176;7797400;7797400;7797680;7797680;7798157;7798157;7798558;7798558;7799103;7799103;7801578;7801578;7801878;7801878;7804256;7804256;7804320;7804958;7804958;7805252;7805252;7805252;7807150;7807150;7807150;7807470;7807470;7807470;7816571;7816571;7816571;7817290;7817290;7817290;7817561;7817561;7817561;7817790;7817790;7817790;7817946;7817946;7817946;7818312;7818312;7818312;7818643;7818643;7818643;7818919;7818919;7818919;7819209;7819209;7819209;7821243;7821243;7821243;7823442;7823442;7823442;7823834;7823834;7823834;7824121;7824121;7824121;7824537;7824537;7824537;7830300;7830300;7830300;7830658;7830658;7830658;7831086;7831086;7831086;7831390;7831390;7831390;7831661;7831661;7831661;7832579;7832579;7832854;7832854;7833071;7833071;7833379;7833379	7718799;7717831;7719900;7719900;7719900;7723689;7723689;7723689;7727292;7727292;7727292;7733315;7733315;7733315;7734293;7734293;7734293;7734708;7734708;7734708;7737258;7737258;7737258;7738120;7739014;7739938;7739938;7739938;7740549;7740549;7740549;7740992;7740992;7740992;7740992;7743901;7743142;7743142;7743217;7757237;7757237;7758651;7758651;7759124;7759124;7759610;7759610;7759938;7759938;7760932;7760932;7760932;7764031;7764031;7764031;7764273;7764273;7764273;7765565;7765565;7765565;7766481;7766481;7768061;7768061;7768061;7768267;7768267;7768267;7770408;7770408;7770408;7770933;7770639;7770639;7770933;7770933;7771468;7771468;7771468;7774976;7774976;7774976;7775342;7775342;7775342;7776149;7776149;7776149;7776889;7776889;7776889;7777634;7777634;7777634;7778180;7778180;7778180;7778469;7778469;7778469;7779423;7779423;7779423;7780284;7780284;7780284;7780782;7780782;7780782;7781167;7781167;7781167;7786342;7786342;7786687;7786687;7786687;7787750;7787033;7787033;7787997;7787997;7788244;7788244;7792069;7792069;7792343;7792343;7792855;7792855;7793205;7793205;7794358;7794358;7796652;7796652;7797261;7797261;7797530;7797530;7797829;7797829;7798324;7798324;7798718;7798718;7799242;7799242;7801710;7801710;7802017;7802017;7804466;7804466;7804466;7805074;7805074;7805393;7805393;7805393;7807319;7807319;7807319;7807586;7807586;7807586;7816735;7816735;7816735;7817415;7817415;7817415;7817709;7817709;7817709;7817856;7817856;7817856;7818096;7818096;7818096;7818460;7818460;7818460;7818776;7818776;7818776;7819063;7819063;7819063;7819408;7819408;7819408;7821369;7821369;7821369;7823628;7823628;7823628;7823982;7823982;7823982;7824304;7824304;7824304;7824727;7824727;7824727;7830491;7830491;7830491;7830842;7830842;7830842;7831314;7831314;7831314;7831541;7831541;7831541;7831775;7831775;7831678;7832755;7832755;7832928;7832928;7833221;7833221;7833740;7833744	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	17231	1
ENSG00000240480.1	chr17;chr17	7754320;7754394	7754976;7754853	+;+	657	44
ENSG00000132510.10	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	7839904;7839904;7839962;7839991;7840284;7840284;7844207;7844901;7844901;7844901;7844901;7844915;7845314;7845314;7845314;7845314;7845550;7845550;7845550;7845872;7845872;7845872;7846078;7846078;7846078;7846400;7846400;7846400;7846579;7846579;7846579;7846819;7846819;7847105;7847105;7847105;7847546;7847546;7847546;7849821;7849821;7850072;7850072;7851021;7851021;7851330;7851330;7851478;7851478;7851648;7851648;7851951;7851951;7852149;7852149;7852495;7852495;7853000;7853000;7853210;7853210;7853498	7840024;7840024;7840024;7840024;7840370;7840681;7844353;7845020;7845020;7844972;7845020;7845020;7845456;7845347;7845456;7845456;7845691;7845691;7845691;7845970;7845970;7845970;7846297;7846297;7846297;7846492;7846492;7846492;7846740;7846740;7846740;7847016;7847016;7847452;7847452;7847452;7849728;7847571;7849728;7849947;7849947;7850177;7850177;7851226;7851226;7851394;7851394;7851549;7851549;7851796;7851796;7852065;7852065;7852336;7852336;7852636;7852636;7853126;7853126;7854796;7853380;7853680	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7258	458
ENSG00000167874.6	chr17;chr17;chr17;chr17	7855065;7855066;7855445;7855771	7855284;7855284;7856099;7856061	+;+;+;+	875	4
ENSG00000183011.13	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	7856685;7856685;7856685;7856685;7856686;7856699;7856985;7856985;7857015;7857015;7857015;7857015;7857383;7857383;7857563;7857894;7858249;7858632;7866491;7883235;7883235;7885165;7885165	7856843;7856843;7856843;7856843;7856843;7856843;7857198;7857263;7857198;7857198;7857854;7857198;7857891;7857562;7857722;7858079;7858496;7858831;7866558;7883335;7883335;7885238;7885209	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1943	1007
ENSG00000182224.11	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	7857746;7857983;7858003;7858030;7858283;7858285;7858403;7858403;7858403;7858403;7858606;7858606;7858606;7859382;7859382;7859382;7859382;7859450	7858294;7858294;7858294;7858206;7858294;7858479;7858479;7858479;7858824;7858689;7858824;7858824;7858824;7859505;7859544;7862282;7859774;7860474	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3980	58
ENSG00000280046.1	chr17	7858943	7866083	+	7141	13
ENSG00000170004.16	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	7884806;7888791;7888851;7889664;7889664;7889664;7889718;7890424;7890571;7890571;7890571;7890571;7890576;7890735;7890940;7890940;7890940;7890940;7893286;7893286;7893286;7893286;7893286;7893805;7893805;7893805;7893805;7893805;7893829;7894115;7894115;7894115;7894115;7894127;7894127;7894415;7894415;7894415;7894415;7894415;7894433;7894554;7894917;7894917;7894917;7894917;7894917;7895339;7895339;7895339;7895339;7895339;7897083;7897083;7897083;7897083;7897971;7897971;7897971;7897971;7898496;7898496;7898496;7899011;7899011;7899011;7899343;7899343;7899343;7899896;7899896;7899896;7900290;7900290;7900290;7900558;7900558;7900558;7900852;7900852;7900852;7901244;7901244;7901244;7902610;7902610;7902610;7902937;7902937;7902937;7903272;7903272;7903272;7903825;7903825;7903825;7903848;7904074;7904129;7904235;7904442;7904442;7904442;7905100;7905100;7905100;7905100;7905100;7905100;7905621;7905621;7905621;7905621;7905621;7905856;7905856;7905856;7905856;7906553;7906553;7906553;7906553;7906869;7906869;7906869;7906869;7907126;7907126;7907126;7907126;7907353;7907353;7907353;7907353;7907439;7907601;7907601;7907601;7907696;7907891;7907891;7907894;7907894;7907894;7907911;7907992;7908402;7908402;7908402;7908402;7908402;7908402;7908402;7908402;7908697;7908697;7908697;7908697;7908697;7908697;7908697;7909143;7909143;7909143;7909143;7909143;7909143;7909143;7909501;7910428;7910428;7910428;7910428;7910428;7910439;7910847;7910847;7910847;7910847;7910847;7910847;7910847;7910847;7911464;7911464;7911464;7911464;7911464;7911464;7911464	7885083;7889100;7889100;7889776;7889776;7889776;7889776;7890491;7890741;7890605;7890741;7890741;7890690;7890741;7891064;7891064;7891064;7891064;7893569;7893569;7893569;7893569;7893569;7893935;7893935;7893935;7893935;7893935;7893935;7894265;7894265;7894265;7894265;7894265;7894265;7894608;7894608;7894608;7894791;7894608;7894504;7894608;7895150;7895150;7895150;7895150;7895150;7895542;7895542;7895568;7895542;7895542;7897294;7897294;7897294;7897294;7898102;7898013;7898102;7898102;7898595;7898595;7898595;7899202;7899202;7899202;7899543;7899543;7899543;7900033;7900033;7900033;7900411;7900411;7900411;7900731;7900731;7900731;7900993;7900993;7900993;7901375;7901375;7901375;7902727;7902727;7902727;7903061;7903061;7903061;7903503;7903503;7903503;7903991;7903991;7903991;7903991;7904619;7904619;7904619;7904619;7904619;7904619;7905165;7905276;7905165;7905165;7905165;7905165;7905706;7905706;7905656;7905706;7905706;7905989;7905989;7905989;7905989;7906697;7906697;7906697;7906697;7907031;7907031;7907031;7907031;7907247;7907247;7907247;7907247;7907488;7907488;7907488;7907488;7908019;7907702;7907702;7907702;7907702;7908019;7908019;7908019;7908019;7908019;7908019;7908019;7908510;7908510;7908510;7908510;7908510;7908510;7908570;7908510;7908829;7908829;7908829;7908829;7908829;7908829;7908829;7909338;7909384;7909338;7909338;7909338;7909338;7909338;7910591;7910591;7910591;7910591;7910591;7910591;7910591;7910973;7910973;7910973;7910973;7910973;7910973;7910895;7910973;7912760;7911815;7912760;7912760;7911750;7912760;7912760	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9758	3532
ENSG00000252835.1	chr17	7906122	7906260	+	139	0
ENSG00000179859.9	chr17;chr17;chr17;chr17;chr17	7913324;7913340;7915522;7915679;7915679	7915577;7915957;7915577;7916276;7915975	-;-;-;-;-	2953	72
ENSG00000170049.9	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	7921859;7922708;7922939;7923456;7923456;7923456;7923456;7923711;7923711;7923711;7923968;7923968;7923968;7924145;7924145;7924415;7924415;7924415;7924629;7925097;7925310;7925683;7925683;7925683;7925931;7925931;7925931;7926059;7926059;7927127;7927344;7927344;7927419;7927657;7927657;7927657;7927657;7927783;7927783;7927783;7927783;7929097;7929194;7929345	7923179;7923179;7923179;7923544;7923544;7923842;7923544;7923831;7923831;7923831;7924265;7924062;7924062;7924265;7924265;7924500;7924498;7924500;7925183;7925183;7925501;7925726;7925726;7925726;7925975;7925975;7925975;7926103;7926103;7927423;7927423;7927423;7927423;7927694;7927694;7927694;7927694;7928347;7928019;7928347;7927826;7929803;7929435;7929435	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4580	9
ENSG00000262730.1	chr17;chr17;chr17;chr17;chr17;chr17	7925931;7926059;7927344;7927657;7927783;7930527	7925975;7926103;7927423;7927694;7927826;7930622	-;-;-;-;-;-	348	0
ENSG00000170043.11	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	7930345;7930348;7930349;7930504;7931011;7931011;7931011;7931011;7931035;7931095;7931328;7931506;7931506;7931506;7931506;7931731;7931731;7931731;7931731;7931731;7931731;7931731;7931928;7931940;7931940;7931940	7930734;7930734;7930734;7930734;7931149;7931149;7931149;7931149;7931149;7931149;7931576;7931576;7931576;7931576;7931576;7931917;7931829;7931829;7931921;7931945;7931829;7931829;7931948;7931962;7932123;7931999	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1171	1954
ENSG00000170037.13	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	7932101;7932155;7932155;7932242;7932461;7932763;7932928;7932928;7932956;7933080;7933093;7933117;7934138;7934138;7934138;7934138;7934138;7934138;7934465;7934465;7934465;7934465;7934465;7934465;7934529;7934919;7934989;7934989;7934989;7934989;7934989;7934989;7935676;7936238;7936366;7936366;7936366;7936366;7936366;7936701;7936701;7936701;7936701;7936701;7936701;7936701;7937164;7937164;7937164;7937164;7937164;7937164;7937203;7937204;7939513;7939513;7939513;7939513;7939513;7939513;7939513;7939690;7940096;7940096;7940096;7940096;7940096;7940096;7940096;7943391;7943391;7943391;7943391;7943391;7943391;7943391;7944123;7944123;7944123;7944123;7944123;7944123;7944476;7944476;7944476;7944476;7945331;7945728;7945728;7945728;7945728;7945728;7945728;7947571;7947571;7947571;7947571;7947571;7947571;7947571;7947624;7947916;7947916;7947916;7947916;7947916;7947916;7948157;7948157;7948157;7948157;7948157;7948157;7948487;7948487;7948487;7948487;7948487;7948487;7949082;7949085;7949085;7949085;7949385;7949385;7949385;7949385;7949385	7932138;7933349;7933349;7932800;7932800;7932800;7933120;7933349;7933310;7933349;7933349;7933349;7934222;7934222;7934222;7934222;7934222;7934222;7934546;7934546;7934546;7934546;7934546;7934546;7934546;7935145;7935145;7935145;7935145;7935145;7935145;7935145;7936482;7936482;7936482;7936482;7936482;7936482;7936482;7936817;7936817;7936817;7936817;7936817;7936796;7936817;7937227;7937262;7937262;7937262;7937262;7937262;7937262;7937262;7939749;7939749;7939749;7939749;7939703;7939749;7939749;7939749;7940242;7940242;7940242;7940242;7940242;7940242;7940242;7943524;7943524;7943524;7943599;7943524;7943524;7943524;7944248;7944638;7944248;7944248;7944248;7944248;7944638;7944638;7944638;7944638;7945986;7945986;7945986;7945986;7945986;7945986;7945986;7947722;7947722;7947722;7947722;7947722;7947685;7947722;7947722;7947979;7947979;7947979;7947979;7947979;7947979;7948327;7948327;7948327;7948327;7948327;7948327;7949137;7948619;7949578;7948619;7948619;7948685;7949157;7949157;7949137;7949157;7949918;7949576;7949425;7949578;7949578	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6234	934
ENSG00000262492.1	chr17;chr17	7954868;7955292	7954966;7955622	+;+	430	4
ENSG00000132518.6	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	8002594;8003039;8003852;8006363;8007060;8007426;8007931;8009506;8012144;8012450;8013103;8013880;8014601;8014859;8015328;8015743;8015927;8016129;8016205;8016443;8016443;8020128	8002734;8003768;8004156;8006714;8007144;8007528;8008032;8009586;8012350;8012606;8013252;8014028;8014764;8015051;8015502;8015841;8016021;8016290;8016290;8016554;8016820;8020339	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4040	1
ENSG00000279174.1	chr17	8013327	8016378	-	3052	0
ENSG00000179593.15	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	8039017;8039034;8039040;8039101;8039156;8039386;8039386;8039386;8039386;8039386;8039902;8039902;8039902;8039902;8039902;8042369;8042369;8042369;8042369;8042369;8042781;8042781;8042781;8042781;8044829;8044829;8044829;8044829;8044829;8045238;8045238;8045238;8045238;8045238;8045483;8045483;8045483;8045483;8045483;8046668;8046668;8046668;8046907;8046907;8046907;8046907;8046907;8047258;8047258;8047258;8047294;8047564;8047564;8047564;8047564;8047564;8047745;8047745;8047745;8047745;8047745;8048386;8048386;8048386;8048386;8048386	8039302;8039302;8039302;8039302;8039302;8039605;8039605;8039605;8039605;8039605;8039983;8039983;8039983;8039983;8039983;8042491;8042491;8042491;8042491;8042884;8042884;8042884;8042884;8042884;8045001;8045001;8045001;8045001;8045001;8045384;8045384;8045384;8045384;8045384;8045686;8045686;8045686;8045686;8045686;8046754;8046754;8046754;8047076;8047076;8047063;8047076;8047076;8047379;8047379;8047379;8047379;8047664;8047664;8047664;8047664;8047664;8047915;8047915;8047915;8047915;8047915;8049110;8049134;8048565;8049134;8048844	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3028	0
ENSG00000263427.1	chr17;chr17	8056225;8057572	8056691;8057621	-;-	517	0
ENSG00000275011.1	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	8063936;8064125;8067158;8067866;8069092;8071388;8071585;8071779;8072387	8064054;8064215;8067352;8068015;8069294;8071509;8071685;8071955;8072533	+;+;+;+;+;+;+;+;+	1305	0
